"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Toyota","TM","283958411264","217.87","Japan"
"2","Mitsubishi UFJ Financial","MUFG","181575925760","15.97","Japan"
"3","SoftBank","9984.T","160182353057","28.0439","Japan"
"4","Sony","SONY","154334412800","25.88","Japan"
"5","Hitachi","6501.T","141215021954","31.2434","Japan"
"6","Sumitomo Mitsui Financial Group","SMFG","124511330304","19.45","Japan"
"7","Fast Retailing","9983.T","111348741455","362.913","Japan"
"8","Tokyo Electron","8035.T","100272045342","218.742","Japan"
"9","Mizuho Financial Group","MFG","91869724672","7.41","Japan"
"10","Advantest","6857.T","90898231753","125.146","Japan"
"11","Itōchū Shōji","8001.T","88197124573","12.5879","Japan"
"12","Keyence","6861.T","87613700178","361.256","Japan"
"13","Chugai Pharmaceutical","4519.T","86461387376","52.5377","Japan"
"14","Mitsubishi Corporation","8058.T","85061528386","22.8558","Japan"
"15","Mitsui Bussan","8031.T","84793511519","29.5927","Japan"
"16","NTT (Nippon Telegraph &amp; Telephone)","9432.T","82346359727","1.00512","Japan"
"17","Mitsubishi Heavy Industries","7011.T","82237670643","24.4747","Japan"
"18","Recruit","6098.T","79603489152","56.3873","Japan"
"19","Nintendo","7974.T","78885167233","67.5284","Japan"
"20","Tokio Marine","8766.T","70558743576","37.0753","Japan"
"21","KDDI","9433.T","65721280714","17.2629","Japan"
"22","Japan Tobacco","2914.T","63834903909","35.9471","Japan"
"23","Mitsubishi Electric","6503.T","59800429019","29.223","Japan"
"24","Shin-Etsu Chemical","4063.T","58190917656","31.0586","Japan"
"25","Takeda Pharmaceutical","TAK","51979468800","15.62","Japan"
"26","Hoya","7741.T","51044548592","150.959","Japan"
"27","Japan Post Bank","7182.T","50328178395","14.0793","Japan"
"28","Fujitsu","6702.T","48586359475","27.5914","Japan"
"29","Marubeni","8002.T","45679446109","27.7443","Japan"
"30","NEC Corp","6701.T","45118794761","33.8439","Japan"
"31","Aeon","8267.T","43680630939","15.7874","Japan"
"32","Sumitomo","8053.T","41344240027","34.494","Japan"
"33","Daiichi Sankyō","4568.T","39499392705","21.3388","Japan"
"34","Honda","HMC","38873600000","29.96","Japan"
"35","Murata Manufacturing (Murata Seisakusho)","6981.T","37659674748","20.6887","Japan"
"36","Daikin","6367.T","37476835422","127.982","Japan"
"37","Denso","6902.T","36991005979","13.7542","Japan"
"38","Fanuc","6954.T","36185160933","38.777","Japan"
"39","Toyota Tsusho","8015.T","35489308198","33.6144","Japan"
"40","MS&amp;AD Insurance","8725.T","34867401867","23.474","Japan"
"41","7-Eleven","3382.T","34149648244","14.3438","Japan"
"42","Toyota Industries","6201.T","34088824328","113.45","Japan"
"43","Disco Corp.","6146.T","33289989972","307.017","Japan"
"44","ORIX","IX","32763664384","29.49","Japan"
"45","Sumitomo Denki Kōgyō","5802.T","31440982350","40.3131","Japan"
"46","Mitsui Fudosan","8801.T","31183047109","11.3482","Japan"
"47","Sompo Holdings","8630.T","30816660037","34.0096","Japan"
"48","Fujikura","5803.T","30671330242","111.156","Japan"
"49","Oriental Land","4661.T","30288251847","18.4739","Japan"
"50","Dai-ichi Life Holdings","8750.T","30208464316","8.308","Japan"
"51","Panasonic","6752.T","30110301292","12.897","Japan"
"52","Otsuka Holdings","4578.T","29867887811","56.553","Japan"
"53","Japan Post Holdings","6178.T","29770971206","10.5196","Japan"
"54","East Japan Railway","9020.T","29723958149","26.3357","Japan"
"55","Mitsubishi Estate","8802.T","29530716403","24.3536","Japan"
"56","Komatsu","6301.T","28759313293","31.868","Japan"
"57","Bridgestone","5108.T","28719203994","22.3969","Japan"
"58","Suzuki Motor","7269.T","28706038065","14.8792","Japan"
"59","TDK","6762.T","26746018943","14.092","Japan"
"60","Central Japan Railway","9022.T","26585010331","27.6423","Japan"
"61","Canon","7751.T","25944858830","29.5289","Japan"
"62","Fujifilm","4901.T","25688512522","21.3133","Japan"
"63","Nomura Holdings","NMR","24794222592","8.45","Japan"
"64","Renesas Electronics","6723.T","24676415187","13.6395","Japan"
"65","Astellas Pharma","4503.T","23894750004","13.34","Japan"
"66","Inpex","1605.T","23385948689","19.9303","Japan"
"67","Sumitomo Realty &amp; Development","8830.T","23284804952","25.061","Japan"
"68","Nomura Research Institute","4307.T","22001210467","38.3755","Japan"
"69","SMC corp","6273.T","21921514830","347.107","Japan"
"70","Resona Holdings","8308.T","21603885135","9.5158","Japan"
"71","Nippon Steel","5401.T","21378809578","4.09058","Japan"
"72","Sumitomo Mitsui Trust Holdings","8309.T","21353722469","30.4467","Japan"
"73","Terumo","4543.T","21341478824","14.4681","Japan"
"74","Daiwa House","1925.T","20519022654","33.13","Japan"
"75","Ajinomoto","2802.T","20433328834","21.1413","Japan"
"76","Nexon","3659.T","19351669283","24.3918","Japan"
"77","Kyocera","6971.T","19022773362","13.9996","Japan"
"78","ENEOS Holdings","5020.T","18978949868","7.05558","Japan"
"79","IHI Corporation","7013.T","18612098313","17.5561","Japan"
"80","Konami Holdings","9766.T","18428791163","135.949","Japan"
"81","LY Corporation","4689.T","18216549045","2.65907","Japan"
"82","Kaō","4452.T","18100643763","39.9052","Japan"
"83","Pan Pacific International Holdings","7532.T","17747192049","5.94211","Japan"
"84","KEPCO","9503.T","17432108658","15.6472","Japan"
"85","Kajima","1812.T","17328574002","37.19","Japan"
"86","Bandai Namco","7832.T","17213981971","26.5907","Japan"
"87","ASICS Corporation","7936.T","17152625069","23.9329","Japan"
"88","Lasertec","6920.T","17026384198","188.946","Japan"
"89","Kubota","6326.T","16086767973","14.1271","Japan"
"90","Nitto Denko","6988.T","15950883228","23.678","Japan"
"91","Nidec","6594.T","15576668444","13.5885","Japan"
"92","Nippon Paint","4612.T","15569116414","6.67635","Japan"
"93","Subaru","7270.T","15557868567","21.6384","Japan"
"94","Taisei Corporation","1801.T","15415977284","94.5525","Japan"
"95","Shionogi","4507.T","15408998340","18.1074","Japan"
"96","Asahi Group","2502.T","15383339817","10.4495","Japan"
"97","Sekisui House","1928.T","14452383364","22.2949","Japan"
"98","Obayashi","1802.T","14376181376","20.8353","Japan"
"99","Secom","9735.T","14366890040","35.5201","Japan"
"100","SBI Holdings","8473.T","14211299842","21.5109","Japan"
"101","Olympus","7733.T","13934451945","12.6484","Japan"
"102","Rakuten","4755.T","13854277623","6.3991","Japan"
"103","OBIC","4684.T","13748079706","31.3709","Japan"
"104","Aisin Seiki","7259.T","13600211961","18.6492","Japan"
"105","Tōkyō Gas","9531.T","13563180281","39.5482","Japan"
"106","Osaka Gas","9532.T","13413887340","34.6087","Japan"
"107","Nippon Yūsen","9101.T","13363513462","32.3652","Japan"
"108","Nippon Sanso","4091.T","12878281331","29.752","Japan"
"109","Hikari Tsushin","9435.T","12252741002","278.845","Japan"
"110","Kirin Holdings","2503.T","12124118402","14.9652","Japan"
"111","Ibiden","4062.T","12086049154","42.9008","Japan"
"112","Daiwa Securities Group","8601.T","12058591175","8.73503","Japan"
"113","Asahi Kasei","3407.T","12024688074","8.85294","Japan"
"114","Mitsubishi HC Capital","8593.T","11995609417","8.3558","Japan"
"115","Chubu Electric Power","9502.T","11613109956","15.3731","Japan"
"116","JX Advanced Metals","5016.T","11569040853","12.4923","Japan"
"117","Daifuku","6383.T","11549163309","31.4091","Japan"
"118","Shimizu Corporation","1803.T","11506859410","17.008","Japan"
"119","SCSK Corporation","9719.T","11281207426","36.0682","Japan"
"120","T&amp;D Holdings","8795.T","11208333677","23.0406","Japan"
"121","Fuji Electric","6504.T","11132616222","75.5273","Japan"
"122","Kawasaki Heavy Industries","7012.T","11059593773","66.1581","Japan"
"123","Japan Exchange Group","8697.T","10980304976","10.6822","Japan"
"124","Japan Post Insurance","7181.T","10976498886","30.0324","Japan"
"125","Sumitomo Metal Mining","5713.T","10961979607","40.517","Japan"
"126","Oracle Corp Japan","4716.T","10762667834","84.0679","Japan"
"127","Ebara Corporation","6361.T","10730208307","23.4804","Japan"
"128","Isuzu","7202.T","10727164104","15.5484","Japan"
"129","Shinkin Central Bank","8421.T","10628784711","1220.55","Japan"
"130","Mitsui O.S.K. Lines","9104.T","10310754858","30.0197","Japan"
"131","Unicharm","8113.T","9925247116","5.70438","Japan"
"132","Nitori Holdings","9843.T","9877001006","17.4796","Japan"
"133","Capcom","9697.T","9733535827","23.27","Japan"
"134","Toray Industries","3402.T","9723841827","6.50108","Japan"
"135","Ryohin Keikaku","7453.T","9404952346","17.7314","Japan"
"136","Concordia Financial Group","7186.T","9315283685","8.24426","Japan"
"137","Suntory","2587.T","9309557008","30.128","Japan"
"138","Idemitsu Kosan","5019.T","9233732621","7.53998","Japan"
"139","SCREEN Holdings","7735.T","9183217560","97.1338","Japan"
"140","M3, Inc","2413.T","9128088576","13.4738","Japan"
"141","Shimano","7309.T","9112391381","105.388","Japan"
"142","West Japan Railway","9021.T","9067044114","19.9239","Japan"
"143","Zensho Holdings","7550.T","8950165589","57.2031","Japan"
"144","ANA Holdings","9202.T","8875078027","18.987","Japan"
"145","“K” Line","9107.T","8786640748","13.9008","Japan"
"146","Niterra","5334.T","8698312906","43.9205","Japan"
"147","Nissan","7201.T","8691611315","2.48634","Japan"
"148","Toho Co.","9602.T","8624627983","50.8614","Japan"
"149","Kinden Corporation","1944.T","8578728516","43.2959","Japan"
"150","kyowa Kirin","4151.T","8431389579","16.1061","Japan"
"151","Toppan","7911.T","8401640930","29.7074","Japan"
"152","Kikkoman","2801.T","8400174800","9.06327","Japan"
"153","Eisai","4523.T","8379091771","29.701","Japan"
"154","Shizuoka Financial Group","5831.T","8370837168","15.5006","Japan"
"155","Hulic","3003.T","8297506456","10.9276","Japan"
"156","Kokusai Electric","6525.T","8175749186","35.023","Japan"
"157","Yokogawa Electric Corporation","6841.T","8140500252","31.97","Japan"
"158","JFE Holdings","5411.T","8099025907","12.7313","Japan"
